Column1;X;English;German;Hungarian;Conc.M;GermanMutuality;GermanJointness;EnglishMutuality;EnglishJointness;HungarianMutuality;HungarianJointness;V.Mean.Sum;A.Mean.Sum;D.Mean.Sum;en_log_freq;de_log_freq;hu_log_freq
30;30;to email;e-mailen;NA;4.69;0.833333333;-0.37704918;0.666666667;-0.238095238;NA;NA;6;4.5;6.11;0.948945726;0.175242108;0.06727921
31;31;to embrace;umschlingen;átkarolni;3.38;0.86440678;0.344262295;0.9;0.746031746;1;0.65;7;5.82;6.58;1.4431254;0.16246284;0.38379383
32;32;to engage;verloben;eljegyezni;2.07;0.866666667;0.901639344;0.833333333;0.650793651;0.9;0.45;6.6;5.28;6.42;1.947187781;0.291142319;0.381712389
33;33;to fax;faxen;faxolni;4.48;0.333333333;-0.639344262;0.263157895;-0.709677419;0.128205128;-0.641025641;5.24;3.37;5.67;0.285773277;0.264343144;0.05647034
34;34;to fight;kämpfen;harcolni;4.2;0.866666667;0.672131148;0.9;0.80952381;0.85;0.6;3.54;6.33;4.68;1.994144721;1.759636121;1.606628004
35;35;to flirt;flirten;flörtölni;3.26;0.8;0.770491803;0.933333333;0.777777778;0.85;0.6;6.73;5.93;5.8;0.57247196;0.495681681;0.328970494
36;36;to gather;versammeln;összegyűlni;2.75;0.966666667;0.967213115;0.566666667;0.396825397;1;1;5.72;3.7;6.16;1.710073849;1.107604049;1.078690216
37;37;to gossip;tratschen;pletykálni;3;0.866666667;0.901639344;0.933333333;0.841269841;0.85;0.9;3.5;3.91;3.94;0.223267441;0.101795174;0.463558558
38;38;to hug;umarmen;ölelni;4.14;0.966666667;0.836065574;0.9;0.682539683;0.85;0.75;8.23;4.85;6.8;0.822623719;0.66208699;1.216568593
39;39;to joke;spaßen;viccelni;2.9;0.566666667;0.355932203;0.766666667;0.492063492;0.5;0.2;7.88;5.73;5.79;0.872126542;0.779636168;0.715804525
40;40;to kiss;küssen;csókolni;4.48;0.9;0.868852459;0.9;0.777777778;0.95;0.8;7.78;6.05;6.52;1.24642373;0.954842386;0.962185065
41;41;to marry;heiraten;házasodni;3.03;0.966666667;0.901639344;0.9;0.904761905;0.7;0.9;7.09;5.52;5.67;1.813312657;1.293654417;0.852096157
42;42;to meet;treffen;találkozni;3;0.966666667;0.868852459;0.966666667;0.777777778;0.95;0.9;6.09;3.71;5.89;2.416655283;2.254597497;2.280493301
43;43;to mingle;abhängen;vegyülni;3.17;0.6;0.37704918;0.9;0.968253968;0.65;0.55;5.21;4.41;5.36;0.641251949;1.010472537;0.510621407
44;44;to negotiate;verhandeln;egyezkedni;2;1;0.770491803;1;0.904761905;0.95;0.85;5.57;5;5.84;1.337932634;1.070436865;0.323850004
45;45;to part;verabschieden;búcsúzni;3.29;0.866666667;0.672131148;0.4;-0.015873016;0.85;0.6;4.77;3.36;5.21;0.761374474;1.446377151;1.192309253
46;46;to peck;knutschen;puszilni;4.16;1;0.868852459;0.466666667;-0.079365079;0.8;0.25;NA;NA;NA;0.336837826;0.169709693;0.411119474
47;47;to phone;telefonieren;telefonálni;4.86;0.766666667;0.836065574;0.566666667;0.238095238;0.5;0.35;6.09;3.43;4.44;0.687343432;0.934871986;0.945792954
48;48;to quarrel;anfeinden;veszekedni;3.32;0.966666667;0.213114754;0.9;0.936507937;1;1;2.84;5.39;4.76;0.289365952;0.161101353;NA
49;49;to quibble;nörgeln;akadékoskodni;2.29;-0.1;-0.37704918;0.859649123;0.733333333;0.6;-0.15;4.05;3.7;4.59;0.12093898;0.144742289;0.150249723
50;50;to race;wettrennen;versenyezni;3.59;0.966666667;0.93442623;0.666666667;0.333333333;0.7;0.75;5.44;5.2;4.56;1.270719819;0.000781027;1.423424308
51;51;to separate;trennen;szétválni;3.25;0.866666667;0.114754098;0.633333333;0.015873016;0.7;0.65;3.95;3.91;4.14;1.519584537;1.605918014;0.412210147
52;52;to snuggle;anschmiegen;összebújni;3.52;0.833333333;0.704918033;0.8;0.873015873;1;0.95;7.63;5.54;6.83;0.393340006;0.104125048;0.215864828
53;53;to speak;sprechen;beszélni;3.7;0.133333333;-0.081967213;0.3;-0.111111111;0.3;-0.05;5.91;4.19;5.89;2.29705417;2.399853095;2.537749728
54;54;to squabble;zoffen;balhézni;2.63;1;0.901639344;0.966666667;0.904761905;0.65;0.65;3.6;4.06;3.62;0.090243941;0.023918827;0.215132399
55;55;to talk;reden;beszélgetni;4.07;0.6;0.540983607;0.533333333;0.682539683;0.95;0.95;6.64;3.38;6.44;2.289292046;1.784838235;1.885082006
56;56;to toast;anstoßen;koccintani;4.93;0.666666667;0.180327869;0.5;0.365079365;0.95;0.8;6.73;3.65;6.39;0.622756811;0.825973672;0.442305703
57;57;to trade;tauschen;üzletelni;3.08;0.866666667;0.770491803;0.833333333;0.619047619;0.85;0.75;5.91;4.45;6.26;1.45759005;1.35223077;0.411276174
58;58;to wave;winken;integetni;4.55;0.533333333;-0.081967213;0.433333333;0.111111111;0.55;0.1;6.32;4.19;5.48;0.988725687;0.950973997;0.670063931
59;59;to whisper;tuscheln;suttogni;4.34;0.866666667;0.803278689;0.4;0.047619048;0.15;-0.25;6.14;4.1;5.66;0.984924073;0.120412686;0.885167214
60;60;to wink;zwinkern;kacsintani;4.23;0.2;-0.508196721;0.133333333;-0.333333333;0.05;-0.2;6.62;4.75;6.05;0.390786786;0.230957004;0.530149732
61;61;to accuse;beschuldigen;gyanúsítani;2.25;0.933333333;0.245901639;0.966666667;0.333333333;0.85;-0.1;2.68;5.32;4;1.537386851;0.645318105;0.781423605
62;62;to anger;ärgern;dühíteni;2.41;0.266666667;-0.213114754;-0.016949153;-0.46031746;0.65;-0.05;2.5;5.93;5.14;0.545663315;1.112734667;0.255014264
63;63;to annoy;nerven;idegesíteni;1.93;0.966666667;0.245901639;0.866666667;0.333333333;0.8;0.1;2.49;5.04;4.64;1.251521663;1.089894166;0.81361968
64;64;to apologize;entschuldigen;mentegetőzni;2.63;0.559322034;0.081967213;0.9;0.301587302;0.2;-0.4;4.94;3.52;4.22;1.032012017;1.073319789;0.307078658
65;65;to ask;fragen;kérdezni;2.52;0.666666667;-0.016393443;0.7;0.206349206;0.65;-0.1;5.95;3.48;6.29;2.563352653;2.281131016;2.12637207
66;66;to attack;überfallen;támadni;3.71;0.866666667;0.180327869;0.933333333;0.428571429;0.7;0.1;2;7.05;3.39;1.699424646;0.707244759;1.789082115
67;67;to avoid;meiden;kerülni;2.41;0.833333333;-0.672131148;0.433333333;-0.333333333;0.1;-0.7;4.1;3.92;4.81;2.045268669;0.959820038;2.905680629
68;68;to awake;wecken;ébreszteni;3.32;0.366666667;-0.147540984;-0.793103448;-0.873015873;0.6;-0.05;6.76;5.5;6.68;0.629829418;1.364312115;0.978562127
69;69;to award;belohnen;díjazni;4.14;-0.3;-0.245901639;0.6;0.301587302;0.4;0.15;7.86;5.85;6.9;1.708406877;1.151771165;1.019295374
70;70;to call;anrufen;hívni;4;0.8;0.245901639;0.733333333;0.301587302;0.6;-0.35;6.18;3.29;5.61;2.689276415;1.248530621;2.249154706
71;71;to caress;schmusen;simogatni;4.14;0.933333333;0.901639344;0.766666667;0.619047619;0.5;0.2;6.82;4.6;6.38;0.453845596;0.220220571;1.014072152
72;72;to chase;verfolgen;kergetni;3.48;0.966666667;0.147540984;0.866666667;0.301587302;0.55;0.2;3.77;6.6;4.68;1.191239685;1.761203059;0.955689193
73;73;to cheat;betrügen;csalni;2.23;0.866666667;0.147540984;0.033333333;-0.555555556;-0.65;-0.7;3.05;4.91;4.37;0.900696412;0.735531036;1.245866622
74;74;to cheer;anfeuern;lelkesíteni;2.77;0.866666667;0.606557377;0.533333333;0.365079365;0.9;0.45;7.1;5.33;6.37;0.956725354;0.447224721;0.395756106
75;75;to comfort;trösten;nyugtatni;2.89;0.966101695;0.409836066;0.733333333;0.619047619;0.85;-0.05;7.24;2.76;7.18;0.690335209;0.745916787;0.955388499
76;76;to congratulate;gratulieren;gratulálni;3.04;0.866666667;0.540983607;0.866666667;0.555555556;0.85;-0.05;6.33;4.77;7;0.840998869;1.134905423;1.759782861
77;77;to criticize;kritisieren;kritizálni;2.03;0.933333333;0.081967213;0.633333333;0.238095238;0.75;0.05;2.41;5.27;4.7;1.206552805;1.448246899;1.051143257
78;78;to distract;ablenken;zavarni;2.33;0.066666667;-0.278688525;0.2;0.047619048;0.6;-0.2;3.68;3.55;4.35;1.031400788;0.932896691;1.74378084
79;79;to entertain;belustigen;szórakoztatni;2.55;0.466666667;0.245901639;0.533333333;0.46031746;0.8;0.2;7.21;5.19;6.7;1.139111154;0.103885785;1.076318881
80;80;to feed;füttern;etetni;4.17;0.6;-0.180327869;-0.166666667;-0.111111111;0.55;-0.1;6.95;4.55;6.79;1.705678927;1.058095242;1.051973624
81;81;to fire;feuern;kirúgni;4.68;0.566666667;-0.245901639;0.366666667;-0.301587302;0.55;-0.25;4.32;6.05;4.57;1.579977157;0.741050698;0.914700073
82;82;to flatter;schmeicheln;hízelegni;2.14;0.933333333;0.245901639;0.966666667;0.555555556;0.75;-0.15;6.1;4.61;6;0.604226053;0.367320505;0.280457716
83;83;to greet;grüßen;üdvözölni;2.96;0.866666667;0.475409836;0.8;0.777777778;0.9;0.25;6.25;3.86;6.54;1.128445152;1.560465823;1.408788425
84;84;to help;helfen;segíteni;2.56;0.933333333;0.344262295;0.7;0.555555556;0.85;0.15;6.95;4.29;6.89;2.788307776;2.393138232;2.66242666
85;85;to hide;verstecken;rejteni;3.21;-0.5;-0.409836066;-0.666666667;-0.714285714;-0.4;-0.8;4.9;3.52;4.85;1.69951904;1.384004476;1.427875274
86;86;to infect;anstecken;fertőzni;2.88;0.9;0.344262295;0.566666667;0.206349206;0.95;0.35;2.84;4;3.7;1.028846869;0.771297855;1.356649874
87;87;to injure;verwunden;sebesíteni;3.48;0.133333333;-0.114754098;-0.066666667;-0.238095238;0.65;-0.15;3.74;5.9;4.22;1.310749374;0.419173976;0.153790482
88;88;to instruct;anweisen;utasítani;2.48;0.866666667;0.016393443;0.933333333;0.396825397;0.95;-0.1;5.81;4.25;6.23;1.159468233;1.224138989;1.23037483
89;89;to insult;beleidigen;sértegetni;2.79;0.933333333;0.180327869;0.866666667;0.238095238;0.85;0.1;2.62;5.3;3.96;0.750745919;0.736898241;0.429261201
90;90;to interrupt;unterbrechen;félbeszakítani;3;0.733333333;-0.114754098;0.86440678;0.396825397;0.7;0;3.26;4.36;3.93;1.152121935;1.209512334;0.450967717
91;91;to kill;töten;ölni;3.9;0.7;-0.245901639;0.6;-0.174603175;0.7;-0.35;1.81;6.81;3.61;2.168941333;1.515153881;1.54153756
92;92;to knife;niederstechen;leszúrni;4.9;0.9;0.081967213;0.310344828;-0.35483871;0.65;-0.3;4.33;4.86;5.29;0.143092904;0.057628073;0.332349572
93;93;to massage;massieren;masszírozni;4.18;0.866666667;0.573770492;0.866666667;0.587301587;0.8;0.35;7.16;3.88;6.57;0.517168176;0.582668906;0.771807879
94;94;to mock;verhöhnen;csúfolni;2.43;0.933333333;0.344262295;0.766666667;0.428571429;0.75;0.05;3.81;4.95;5.17;0.806242399;0.283000285;0.396281315
95;95;to nurse;pflegen;ápolni;4.39;0.466666667;0.081967213;0.7;0.396825397;0.65;-0.2;5.41;4.64;5.58;0.827064126;1.58902566;1.31652157
96;96;to pat;tätscheln;paskolni;4.16;0.966666667;0.409836066;0.533333333;-0.079365079;0.384615385;0;NA;NA;NA;0.553735002;0.094764519;0.178003728
97;97;to pinch;kneifen;csípni;4;0.366666667;-0.016393443;0.333333333;0.079365079;0.05;-0.45;3.5;4.44;4.77;0.591948999;0.333165043;0.949162064
98;98;to pity;bemitleiden;sajnálni;1.87;0.566666667;0.180327869;0.566666667;-0.238095238;0.35;-0.45;3.18;4.07;4.52;0.376498485;0.127143689;1.645534169
99;99;to poke;stubsen;bökni;4.22;0.862068966;0.180327869;0.566666667;-0.047619048;0.5;-0.6;4.14;5.41;6.74;0.818071421;0.002684313;0.51763525
100;100;to quiz;prüfen;vizsgáztatni;4.43;-0.466666667;-0.770491803;0.766666667;0.365079365;0.95;0.45;4.53;4.95;4.9;0.298298397;1.859030161;0.279931455
101;101;to repay;entgelten ;visszafizetni;2.52;0.296296296;-0.403508772;0.766666667;0.015873016;0.65;-0.45;5.18;3.65;5.94;0.809511906;NA;0.748751469
102;102;to report;berichten;jelenteni;3.92;0.866666667;0.147540984;0.633333333;-0.26984127;0.3;-0.25;4.77;3.52;4.94;2.282653285;2.071125824;2.721668791
103;103;to rescue;retten;megmenteni;3.17;0.8;0.278688525;0.9;0.555555556;0.8;0.05;7.04;5;5.94;1.203420477;1.632198562;1.380031153
104;104;to ridicule;verspotten;kigúnyolni;2.07;0.966666667;0.475409836;0.766666667;0.333333333;0.8;-0.05;2.95;5.53;4.15;0.507255267;0.33332634;0.329393811
105;105;to rob;rauben;kirabolni;3.48;0.533333333;-0.2;0.666666667;-0.111111111;0.45;-0.1;2.1;5.54;3.57;0.933032002;0.744780997;0.653418996
106;106;to scare;erschrecken ;ijeszteni;2.96;0.266666667;-0.114754098;0.5;0.238095238;0.8;-0.2;3.55;7.1;4.58;1.225243874;NA;0.374007398
107;107;to seduce;verführen;elcsábítani;2.18;0.9;0.508196721;0.9;0.650793651;0.8;0;6.74;6.23;6.18;0.580825795;0.767255334;0.515985051
108;108;to shoot;erschießen;lelőni;3.97;0.633333333;-0.245901639;0.2;-0.619047619;0.35;-0.55;3.5;6;4.67;1.895264768;0.936139606;0.991944726
109;109;to slap;ohrfeigen;pofozni;4.72;0.933333333;0.278688525;0.666666667;0.142857143;0.7;-0.05;2.95;4.59;4.78;0.810177387;0.104998949;0.329582949
110;110;to spank;versohlen;fenekelni;4.21;0.9;-0.016393443;0.8;0.206349206;0.6;0.1;3.76;5.91;4.76;0.347121113;0.064592749;0.054613055
111;111;to stab;erstechen;késelni;4.07;0.9;0;0.733333333;-0.111111111;0.65;-0.4;3.05;5.17;4.12;0.824589181;0.261569741;0.237686971
112;112;to strangle;würgen;fojtogatni;4.34;0.833333333;-0.213114754;0.833333333;0.26984127;0.8;-0.05;3;5.43;3.62;0.490882304;0.323353183;0.403645477
113;113;to stroke;streicheln;cirógatni;4.1;0.762711864;0.31147541;0.366666667;-0.079365079;0.75;0.2;4.19;4.95;4.19;0.700178266;0.774956877;0.274942566
114;114;to surprise;überraschen;meglepni;3.24;0.8;0.180327869;0.6;0.333333333;0.95;0.05;7.44;6.57;5.17;1.60533856;1.490127526;1.356380036
115;115;to tattoo;tätowieren;tetoválni;4.71;0.466666667;-0.081967213;-0.133333333;-0.206349206;0.1;-0.3;4.45;5;6.63;0.460673875;0.22356862;0.491729987
116;116;to tease;necken;évődni;2.59;1;0.442622951;1;0.492063492;-0.444444444;-0.470588235;4.17;5.21;5.24;0.963986991;0.190916901;0.082005812
117;117;to thank;danken;megköszönni;3;0.866666667;0.114754098;0.733333333;0.333333333;0.8;-0.1;7.77;3.33;6.89;2.064876732;1.830421141;1.364766682
118;118;to tickle;kitzeln;csiklandozni;3.85;0.9;0.475409836;0.833333333;0.428571429;0.95;0.2;6.14;5.86;5.28;0.480910543;0.320754703;0.242026827
119;119;to warn;warnen;figyelmeztetni;2.89;0.9;0.213114754;0.866666667;0.174603175;0.95;-0.15;4.9;4.65;5.27;1.563153342;1.442639817;1.54411234
120;120;to worship;anbeten;imádni;2.62;0.566666667;-0.278688525;0;0.079365079;0.05;-0.25;5.57;3.78;4.65;1.033661346;0.467203957;1.790075779
121;121;to bake;backen;sütni;4.21;-0.8;-0.737704918;-0.9;-0.904761905;-0.65;-0.75;7.2;5;6.83;1.365629295;1.284962165;1.736848411
122;122;to bike;radfahren;biciklizni;5;-0.933333333;-0.704918033;-0.898305085;-0.80952381;-0.85;-0.8;6.1;3.62;5.89;0.414140709;0.260104794;0.586002977
123;123;to bounce;federn;pattogni;3.86;-0.389830508;-0.75862069;-0.6;-0.777777778;-0.85;-0.8;6.1;4.68;6.15;1.077716655;0.414005129;0.595876339
124;124;to camp;zelten;táborozni;4.35;-0.333333333;0.31147541;-0.133333333;0.174603175;-0.25;0.7;7;4.14;5.89;0.943316904;0.357122643;0.441542752
125;125;to chill;chillen;kikapcsolódni;2.89;-0.6;-0.409836066;-0.8;-0.777777778;-0.85;-0.4;5.16;3.25;5.55;0.800535626;0.222906271;0.690359131
126;126;to clap;klatschen ;tapsolni;4.16;-0.366666667;0.213114754;-0.366666667;-0.301587302;-0.25;-0.1;6.05;5.15;6.19;0.552966159;NA;0.800119512
127;127;to collide;kollidieren;ütközni;4;0.933333333;0.672131148;0.733333333;0.587301587;0.55;0.55;3.1;4.33;3.95;0.742312631;0.547926005;1.424960815
128;128;to cook;kochen;főzni;4.32;-0.666666667;-0.606557377;-0.5;-0.80952381;-0.8;-0.85;7.12;4.33;6.25;1.524447014;1.483029987;1.653559907
129;129;to cry;weinen;sírni;4;-1;-0.901639344;-0.8;-0.936507937;-0.95;-0.85;3.22;5.45;2.56;1.464728091;1.11699505;1.516902617
130;130;to dance;tanzen;táncolni;4.32;-0.033333333;0.639344262;-0.366666667;0.238095238;-0.25;0.65;7.27;5.48;6.28;1.297335855;1.294445723;1.363871727
131;131;to dine;speisen;étkezni;3.37;-0.766666667;-0.31147541;-0.166666667;0.015873016;-0.85;-0.25;6.6;4;6.05;0.977822339;0.834791254;0.768120635
132;132;to dive;tauchen;merülni;4.03;-0.830508475;-0.573770492;-0.9;-0.904761905;-0.9;-0.85;5.81;3.79;5.75;1.05672462;1.51351085;1.636914559
133;133;to drink;trinken;inni;4.76;-0.8;-0.508196721;-0.733333333;-0.555555556;-0.9;-0.6;6.67;5.19;5.87;1.601433395;1.662714306;1.855270501
134;134;to drive;fahren;vezetni;3.86;-0.766666667;-0.803278689;-0.766666667;-0.80952381;-0.8;-0.9;6.5;4.19;5.67;2.202913004;2.352480708;2.495081005
135;135;to eat;essen;e-mailezni;4.44;-0.833333333;-0.31147541;-0.866666667;-0.555555556;-0.95;-0.7;7.1;4.38;7.26;2.084412824;1.878436767;2.094025
136;136;to exercise;trainieren;edzeni;3.87;-0.8;-0.31147541;-0.833333333;-0.682539683;-0.95;-0.6;6.33;5.41;6.9;1.423809599;1.474779898;1.272143418
137;137;to fish;fischen;horgászni;5;-0.830508475;-0.606557377;-0.733333333;-0.746031746;-0.75;-0.55;6.42;3.33;6.08;1.049047761;0.847668884;0.755280914
138;138;to giggle;kichern;kuncogni;3.72;-0.6;0.081967213;-0.033333333;0.015873016;-0.4;-0.5;7.95;5.39;4.75;0.605477437;0.327530575;0.357599473
139;139;to grin;grinsen;vigyorogni;4.17;-0.666666667;-0.737704918;-0.466666667;-0.714285714;-0.65;-0.6;7.66;5.65;5.58;0.872947192;0.873649541;0.716789373
140;140;to groan;stöhnen;nyögni;4.09;-0.796610169;-0.573770492;-0.7;-0.746031746;-0.8;-0.85;3.9;4.17;5.5;0.636156784;0.560829268;0.706776651
141;141;to growl;knurren;morogni;4.3;-0.733333333;-0.868852459;-0.333333333;-0.904761905;-0.65;-0.8;4.43;3.95;5.11;0.643281886;0.45373714;0.669741668
142;142;to hike;wandern;túrázni;4.14;-0.766666667;0.016393443;-0.666666667;-0.396825397;-0.8;-0.05;6.68;4.32;5.69;1.189686221;1.450787638;0.73830162
143;143;to hop;hüpfen;szökkenni;3.8;-0.833333333;-0.639344262;-0.8;-0.841269841;-0.9;-0.9;5.89;3.71;5.04;0.838776073;0.71206857;0.337093701
144;144;to hunt;jagen;vadászni;3.81;0.166666667;-0.475409836;-0.3;-0.238095238;-0.65;-0.2;3.84;5.1;5.3;1.12598391;1.142963244;1.1320223
145;145;to jog;joggen;kocogni;3.63;-0.933333333;-0.704918033;-0.866666667;-0.841269841;-0.95;-0.9;5.81;3.43;6.35;0.572292932;0.428869879;0.452778195
146;146;to jump;springen;ugrani;4.52;-0.9;-0.737704918;-0.666666667;-0.873015873;-0.9;-0.95;6.44;5.14;5.72;1.647396859;1.521985569;1.592952906
147;147;to knit;stricken;kötni;4.41;-0.933333333;-0.93442623;-0.866666667;-0.904761905;-0.95;-0.95;5.85;3.35;6.44;0.926626395;0.895104168;1.98936068
148;148;to laugh;lachen;nevetni;4.21;-0.466666667;0.114754098;-0.1;-0.111111111;-0.65;-0.1;7.56;6.62;7.39;1.531846762;1.548825828;1.757584056
149;149;to march;marschieren;menetelni;4.03;-0.566666667;0.37704918;-0.5;0.015873016;-0.6;0.5;NA;NA;NA;1.132408272;0.799664426;0.574804203
150;150;to meditate;meditieren;meditálni;3.25;-0.866666667;-0.93442623;-0.766666667;-0.746031746;-0.95;-0.85;6.47;2.85;7.15;0.654684687;0.442137843;0.539333336
151;151;to pack;packen;csomagolni;3.83;-0.566666667;-0.901639344;-0.833333333;-0.841269841;-0.75;-0.85;5.55;4.1;6.05;1.503430846;1.44790546;0.924425577
152;152;to paint;malen;festeni;4.79;-0.8;-0.967213115;-0.866666667;-0.80952381;-0.85;-0.9;5.74;4.5;6.56;1.568221326;1.285203203;1.745319287
153;153;to play;spielen;játszani;3.24;0.133333333;0.508196721;0.4;0.396825397;-0.4;0.25;7.55;3.81;6.29;2.629669007;2.502973673;2.561784288
154;154;to rap;rappen;rappelni;3.57;-0.571428571;-0.689655172;-0.566666667;-0.619047619;-0.487179487;-0.5;5.6;4.3;4.82;0.449974893;0.340794978;NA
155;155;to read;lesen;olvasni;3.56;-0.933333333;-1;-0.9;-0.904761905;-1;-0.95;6.73;3.7;6.11;2.58372162;2.369351321;2.41316476
156;156;to recite;rezitieren;felolvasni;3.93;-0.133333333;-0.639344262;-0.6;-0.428571429;0.15;-0.25;5.45;3.29;5.32;0.806749612;0.270830172;0.82193779
157;157;to relax;entspannen;lazítani;2.86;-0.9;-0.901639344;-0.666666667;-0.777777778;-0.95;-0.75;7.82;2.38;6.94;1.524860809;1.280127453;0.893531519
158;158;to rest;ruhen;pihenni;3.03;-1;-0.967213115;-0.833333333;-0.904761905;-0.95;-0.85;7.86;2.29;5.78;1.417474683;1.182287941;1.542308072
159;159;to ride;reiten;lovagolni;3.75;-0.766666667;-0.508196721;-0.6;-0.46031746;-0.85;-0.85;6.27;5.1;5.28;1.662795406;1.061421188;0.787680046
160;160;to row;rudern;evezni;3.93;-0.566666667;-0.016393443;-0.2;0.079365079;-0.8;-0.55;5.48;3.39;6.06;0.396427771;0.443813527;0.650461976
161;161;to run;laufen;futni;4.31;-0.966666667;-0.868852459;-0.666666667;-0.80952381;-0.9;-0.85;6.41;5.24;5.44;2.603366618;2.328436731;2.040936239
162;162;to sail;segeln;vitorlázni;4.59;-0.633333333;-0.049180328;-0.6;-0.428571429;-0.8;-0.2;6.84;3.74;6.37;1.104060802;0.825424819;0.434319752
163;163;to sew;nähen;varrni;3.93;-0.933333333;-0.901639344;-0.86440678;-0.873015873;-0.794871795;-0.85;5.67;4.35;5.77;0.844816898;1.18425493;1.046156337
